epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1136.87,3.54258,6.37953,0.0959,0,0,0,0,0.89395,4.51119,0.04774,0.000404858,0.000404858,0.000404858
75,1152.2,4.21139,6.02577,0.1198,0,0,0,0,1.52694,5.05143,0.07022,0.000395752,0.000395752,0.000395752
76,1167.59,2.4835,3.93887,0.05732,0,0,0,0,1.52694,5.05143,0.07022,0.00038625,0.00038625,0.00038625
77,1182.59,2.2182,4.07069,0.04286,0,0,0,0,1.52694,5.05143,0.07022,0.000376352,0.000376352,0.000376352
78,1197.54,2.40489,4.59421,0.05343,0.00333,1,0.995,0.0995,1.87497,5.95283,0.0787,0.000366058,0.000366058,0.000366058
79,1213.44,3.88877,5.44342,0.098,0.00333,1,0.995,0.0995,1.87497,5.95283,0.0787,0.000355368,0.000355368,0.000355368
80,1231.46,4.17959,5.16873,0.1108,0.00333,1,0.995,0.0995,1.87497,5.95283,0.0787,0.000344282,0.000344282,0.000344282
81,1248.43,1.87424,6.5006,0.08613,0.00333,1,0.07107,0.04264,1.31721,7.07039,0.05162,0.0003328,0.0003328,0.0003328
82,1263.86,3.52579,7.38826,0.15828,0.00333,1,0.07107,0.04264,1.31721,7.07039,0.05162,0.000320922,0.000320922,0.000320922
83,1279.91,2.92124,4.56219,0.05532,0.00333,1,0.07107,0.04264,1.31721,7.07039,0.05162,0.000308648,0.000308648,0.000308648
84,1295.06,4.82241,7.3854,0.15132,0.00333,1,0.04326,0.0169,1.01051,8.43481,0.04017,0.000295978,0.000295978,0.000295978
85,1310.13,3.43127,4.48583,0.08492,0.00333,1,0.04326,0.0169,1.01051,8.43481,0.04017,0.000282912,0.000282912,0.000282912
86,1324.85,3.72173,5.15496,0.08548,0.00333,1,0.04326,0.0169,1.01051,8.43481,0.04017,0.00026945,0.00026945,0.00026945
87,1339.72,3.32273,7.30135,0.11708,0.00333,1,0.04326,0.0169,1.01051,8.43481,0.04017,0.000255592,0.000255592,0.000255592
88,1354.79,2.78938,4.11642,0.05807,0.01056,1,0.03685,0.00954,1.75762,11.3612,0.08557,0.000241338,0.000241338,0.000241338
89,1369.82,3.23319,7.07635,0.12749,0.01056,1,0.03685,0.00954,1.75762,11.3612,0.08557,0.000226688,0.000226688,0.000226688
90,1384.68,2.80885,6.69196,0.11181,0.01056,1,0.03685,0.00954,1.75762,11.3612,0.08557,0.000211642,0.000211642,0.000211642
91,1399.74,1.79285,5.92175,0.0982,0.01056,1,0.03685,0.00954,1.75762,11.3612,0.08557,0.0001962,0.0001962,0.0001962
92,1414.86,1.56538,6.75138,0.03614,0,0,0,0,1.8744,17.7575,0.1172,0.000180362,0.000180362,0.000180362
93,1429.82,1.64492,6.26596,0.05928,0,0,0,0,1.8744,17.7575,0.1172,0.000164128,0.000164128,0.000164128
94,1445.27,0.95499,7.05997,0.02968,0,0,0,0,1.8744,17.7575,0.1172,0.000147498,0.000147498,0.000147498
95,1460.17,1.87405,6.80754,0.05454,0,0,0,0,1.8744,17.7575,0.1172,0.000130472,0.000130472,0.000130472
96,1475.37,1.87255,6.05512,0.08597,0,0,0,0,1.74321,32.5771,0.13367,0.00011305,0.00011305,0.00011305
97,1490.3,1.84556,6.19294,0.0968,0,0,0,0,1.74321,32.5771,0.13367,9.5232e-05,9.5232e-05,9.5232e-05
98,1505.51,1.74674,6.40314,0.06728,0,0,0,0,1.74321,32.5771,0.13367,7.7018e-05,7.7018e-05,7.7018e-05
99,1520.53,1.53383,5.87742,0.08194,0,0,0,0,1.74321,32.5771,0.13367,5.8408e-05,5.8408e-05,5.8408e-05
100,1535.5,1.45177,6.79573,0.05291,0,0,0,0,1.8651,72.5834,0.08148,3.9402e-05,3.9402e-05,3.9402e-05
